Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
Metabolism of lipids;Import of palmitoyl-CoA into the mitochondrial matrix;Metabolism;Fatty acid metabolism	.	FUNCTION: Plays a role in the regulation of lipogenesis, especially in lactating mammary gland. Important for the biosynthesis of triglycerides with medium-length fatty acid chains. May modulate lipogenesis by interacting with MID1IP1 and preventing its interaction with ACACA (By similarity). May function as transcriptional coactivator. May modulate the transcription factor activity of THRB. {ECO:0000250, ECO:0000269|PubMed:17418816, ECO:0000269|PubMed:18299245}.; 	.	Menarche (age at onset)[25231870];	lipid metabolic process;carnitine shuttle;response to bacterium;regulation of triglyceride biosynthetic process;regulation of lipid biosynthetic process	nucleoplasm;cytosol	identical protein binding;protein homodimerization activity	ENSG00000151365
.	.	.	.	.	.	.	.	ENSG00000259112
Chronic myeloid leukemia - Homo sapiens (human);Fc epsilon RI signaling pathway - Homo sapiens (human);Fc gamma R-mediated phagocytosis - Homo sapiens (human);Ras signaling pathway - Homo sapiens (human);Sphingolipid signaling pathway - Homo sapiens (human);Phospholipase D signaling pathway - Homo sapiens (human);Osteoclast differentiation - Homo sapiens (human);Fc Epsilon Receptor I Signaling in Mast Cells;RANKL-RANK (Receptor activator of NFKB (ligand)) Signaling Pathway;Prolactin Signaling Pathway;Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway;B Cell Receptor Signaling Pathway;IL-3 Signaling Pathway;Kit receptor signaling pathway;Imatinib and Chronic Myeloid Leukemia;BDNF-TrkB Signaling;IL-4 Signaling Pathway;Ras Signaling;EGF-EGFR Signaling Pathway;IL-2 Signaling Pathway;Interferon type I signaling pathways;T-Cell antigen Receptor (TCR) Signaling Pathway;Developmental Biology;Signaling by GPCR;Disease;Signal Transduction;Signaling by Interleukins;Cytokine Signaling in Immune system;Fc epsilon receptor (FCERI) signaling;TCR;Innate Immune System;Immune System;Interleukin receptor SHC signaling;Interleukin-2 family signaling;SHP2 signaling;IL2;IL3;IL2-mediated signaling events;RET signaling;Axon guidance;Signaling by SCF-KIT;Signaling by FGFR in disease;IL6;Signaling by cytosolic FGFR1 fusion mutants;FGFR1 mutant receptor activation;Signaling by FGFR1 in disease;Signaling by Receptor Tyrosine Kinases;G beta:gamma signalling through PI3Kgamma;G-protein beta:gamma signalling;GPCR downstream signalling;GMCSF-mediated signaling events;IL2 signaling events mediated by STAT5;Neurotrophic factor-mediated Trk receptor signaling;Diseases of signal transduction;Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met);Fc-epsilon receptor I signaling in mast cells;IL2 signaling events mediated by PI3K;IL6-mediated signaling events;TCR signaling in na&#xef;ve CD4+ T cells;IL3-mediated signaling events;Role of LAT2/NTAL/LAB on calcium mobilization;Interleukin-3, 5 and GM-CSF signaling	Fc epsilon RI signaling pathway;Chronic myeloid leukemia	FUNCTION: Adapter protein which acts downstream of several membrane receptors including cytokine, antigen, hormone, cell matrix and growth factor receptors to regulate multiple signaling pathways. Regulates osteoclast differentiation mediating the TNFRSF11A/RANK signaling. In allergic response, it plays a role in mast cells activation and degranulation through PI-3-kinase regulation. Also involved in the regulation of cell proliferation and hematopoiesis. {ECO:0000269|PubMed:15750601, ECO:0000269|PubMed:19172738}.; 	.	Body mass index[28892062];Alzheimer's disease (late onset)[17553421];Lactate dehydrogenase levels[29403010];Creatinine levels[29403010];Creatine kinase levels[29403010];Menarche (age at onset)[21102462;25231870];Testicular germ cell tumor[26503584;28604732;28604728];Hair color[29662168];Alzheimer's disease (survival time)[25649651];Glomerular filtration rate[29403010];Intraocular pressure[29785010];	transmembrane receptor protein tyrosine kinase signaling pathway;axon guidance;positive regulation of cell population proliferation;cytokine-mediated signaling pathway;osteoclast differentiation;phosphatidylinositol-3-phosphate biosynthetic process;Fc-epsilon receptor signaling pathway;positive regulation of mast cell degranulation;phosphatidylinositol-mediated signaling	cytoplasm;cytosol;plasma membrane	transmembrane receptor protein tyrosine kinase adaptor activity;protein binding;phosphatidylinositol-3,4,5-trisphosphate binding;1-phosphatidylinositol-3-kinase activity;phosphatidylinositol-3,4-bisphosphate binding	ENSG00000033327
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Ectoderm Differentiation;tRNA Aminoacylation;Translation;Metabolism of proteins;tRNA charging;Urea cycle and metabolism of arginine, proline, glutamate, aspartate and asparagine;Mitochondrial tRNA aminoacylation	Alanine and aspartate metabolism;Aminoacyl-tRNA biosynthesis	.	256000;616239;	Verbal declarative memory[25648963;25648963];Alzheimer's disease (survival time)[25649651];	asparaginyl-tRNA aminoacylation	nucleoplasm;mitochondrion;mitochondrial matrix;cytosol	nucleic acid binding;asparagine-tRNA ligase activity;ATP binding	ENSG00000137513
.	.	FUNCTION: Involved in neural development, regulating the establishment of proper connectivity within the nervous system. Plays a role in the establishment of the anterior-posterior axis during gastrulation. Regulates the differentiation and cellular process formation of oligodendrocytes and myelination of small- diameter axons in the central nervous system (CNS) (PubMed:26188006). Promotes activation of focal adhesion kinase. May function as a cellular signal transducer (By similarity). {ECO:0000250|UniProtKB:Q3UHK6, ECO:0000269|PubMed:26188006}.; 	616736;	Lactate dehydrogenase levels[29403010];Lung cancer in never smokers[28604730];Hair greying[26926045];Night sleep phenotypes[27126917];Right lateral prefrontal cortical growth[29682794];	gastrulation with mouth forming second;heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules;signal transduction;regulation of myelination;positive regulation of myelination;central nervous system myelin formation;neuron development;positive regulation of oligodendrocyte differentiation;cardiac muscle cell proliferation;cardiac cell fate specification;positive regulation of gastrulation	nucleus;cytoplasm;plasma membrane;integral component of plasma membrane;neuron projection	protein homodimerization activity;protein heterodimerization activity;cell adhesion molecule binding	ENSG00000149256
Renin-angiotensin system - Homo sapiens (human);Protein digestion and absorption - Homo sapiens (human);Neutrophil degranulation;Innate Immune System;Immune System;Intrinsic Pathway of Fibrin Clot Formation;Hemostasis;Formation of Fibrin Clot (Clotting Cascade)	.	FUNCTION: Cleaves C-terminal amino acids linked to proline in peptides such as angiotensin II, III and des-Arg9-bradykinin. This cleavage occurs at acidic pH, but enzymatic activity is retained with some substrates at neutral pH.; 	.	Colorectal or endometrial cancer[26621817];Blood protein levels[29875488;30072576];Urate levels (BMI interaction)[25811787];	regulation of thyroid hormone mediated signaling pathway;plasma kallikrein-kinin cascade;negative regulation of systemic arterial blood pressure;proteolysis;blood coagulation, intrinsic pathway;glucose homeostasis;neutrophil degranulation;regulation of blood vessel endothelial cell migration;angiogenesis involved in wound healing;energy homeostasis;regulation of reactive oxygen species metabolic process	plasma membrane;azurophil granule membrane;basal part of cell;extracellular exosome;ficolin-1-rich granule membrane	serine-type carboxypeptidase activity;protein binding;dipeptidyl-peptidase activity	ENSG00000137509
mRNA surveillance pathway - Homo sapiens (human);Gene expression (Transcription);RNA Polymerase II Transcription;Metabolism of RNA;Processing of Intronless Pre-mRNAs;Processing of Capped Intronless Pre-mRNA;Cleavage of Growing Transcript in the Termination Region ;RNA Polymerase II Transcription Termination;mRNA Splicing - Major Pathway;mRNA Splicing;mRNA 3,-end processing;Processing of Capped Intron-Containing Pre-mRNA	.	FUNCTION: Component of pre-mRNA cleavage complex II.; 	.	Age-related macular degeneration[23326517];Obesity-related traits[23251661];	mRNA splicing, via spliceosome;termination of RNA polymerase II transcription;mRNA polyadenylation;mRNA cleavage;mRNA 3'-end processing	nucleoplasm;cytoplasm;mitochondrion;mRNA cleavage factor complex	RNA polymerase II complex binding;mRNA binding	ENSG00000165494
Deregulation of Rab and Rab Effector Genes in Bladder Cancer	.	FUNCTION: Isoform 1 acts as a RAB27A effector protein and plays a role in cytotoxic granule exocytosis in lymphocytes. It is required for cytotoxic granule docking at the immunologic synapse. Isoform 4 binds phosphatidylserine (PS) and phosphatidylinositol- 4,5-bisphosphate (PIP2) and promotes the recruitment of glucagon- containing granules to the cell membrane in pancreatic alpha cells. Binding to PS is inhibited by Ca(2+) while binding to PIP2 is Ca(2+) insensitive. {ECO:0000269|PubMed:17182843, ECO:0000269|PubMed:18266782, ECO:0000269|PubMed:18812475}.; 	.	.	intracellular protein transport;exocytosis;vesicle docking involved in exocytosis;negative regulation of phosphatase activity;vesicle-mediated transport;positive regulation of mucus secretion;protein localization to plasma membrane	cytoplasm;plasma membrane;membrane;extrinsic component of plasma membrane;melanosome;exocytic vesicle	phosphatidylserine binding;protein binding;phosphatidylinositol-4,5-bisphosphate binding;Rab GTPase binding;phosphatase binding;neurexin family protein binding	ENSG00000137501
.	.	FUNCTION: Involved in mitochondrial metabolism by regulating the balance between mitochondrial fusion and fission. May act as a regulator of mitochondrial fission that promotes DNM1L-dependent fission through activation of DNM1L. May be involved in peroxisome organization. {ECO:0000250|UniProtKB:Q5U4F4, ECO:0000250|UniProtKB:Q9CYV5}.; 	.	Response to perphenazine in schizophrenia[29503163];Sodium levels[29403010];Bone ultrasound measurement (velocity of sound)[28472463;28472463;28472463];Heel bone mineral density[28869591;28869591;28869591;28869591;28869591;28869591;30048462];Chloride levels[29403010];Bone ultrasound measurement (broadband ultrasound attenuation)[28472463;28472463];Bone properties (heel)[24430505;24430505];Lumbar spine bone mineral density[29499414];Upper eyelid sagging severity[24869959];	peroxisome organization;response to cold;response to food;regulation of mitochondrial fission	peroxisome;peroxisomal membrane;lipid droplet;integral component of membrane;mitochondrial membrane	.	ENSG00000166575
Long-term potentiation - Homo sapiens (human);Retrograde endocannabinoid signaling - Homo sapiens (human);Glutamatergic synapse - Homo sapiens (human);Huntington,s disease - Homo sapiens (human);Gap junction - Homo sapiens (human);Calcium signaling pathway - Homo sapiens (human);Phospholipase D signaling pathway - Homo sapiens (human);Neuroactive ligand-receptor interaction - Homo sapiens (human);Common Pathways Underlying Drug Addiction;GPCRs, Class C Metabotropic glutamate, pheromone;Signaling by GPCR;Signal Transduction;GPCR GroupI metabotropic glutamate receptor;GPCR signaling-G alpha q;GPCR signaling-cholera toxin;GPCR signaling-pertussis toxin;Neuronal System;Class C/3 (Metabotropic glutamate/pheromone receptors);GPCR ligand binding;GPCR signaling-G alpha s Epac and ERK;GPCR signaling-G alpha s PKA and ERK;Neurexins and neuroligins;GPCR signaling-G alpha i;Protein-protein interactions at synapses;G alpha (q) signalling events;GPCR downstream signalling	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Gap junction;Long-term potentiation;Long-term depression	FUNCTION: G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system and generates a calcium-activated chloride current. Plays an important role in the regulation of synaptic plasticity and the modulation of the neural network activity. {ECO:0000269|PubMed:25042998, ECO:0000269|PubMed:7908515}.; 	.	Coronary artery calcified atherosclerotic plaque score in type 2 diabetes[29221444];Attention deficit hyperactivity disorder[22012869];Tanning[19340012];Rheumatoid arthritis (ACPA-negative)[24532677];	regulation of protein phosphorylation;regulation of translation;regulation of translational elongation;G protein-coupled receptor signaling pathway;phospholipase C-activating G protein-coupled glutamate receptor signaling pathway;G protein-coupled glutamate receptor signaling pathway;chemical synaptic transmission;learning or memory;learning;locomotory behavior;calcium-mediated signaling using intracellular calcium source;regulation of long-term neuronal synaptic plasticity;synapse organization;cognition;regulation of synaptic transmission, glutamatergic;regulation of postsynaptic membrane potential;positive regulation of protein tyrosine kinase activity;modulation of age-related behavioral decline;postsynaptic modulation of chemical synaptic transmission;trans-synaptic signaling by endocannabinoid, modulating synaptic transmission;regulation of postsynaptic cytosolic calcium ion concentration;regulation of intracellular calcium activated chloride channel activity;cellular response to amyloid-beta	cytoplasm;plasma membrane;integral component of plasma membrane;neuron projection;Schaffer collateral - CA1 synapse;postsynaptic density membrane	G protein-coupled receptor activity;protein binding;glutamate receptor activity;protein tyrosine kinase activator activity;G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential;neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration;protein tyrosine kinase binding	ENSG00000168959
AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human);Thyroid hormone synthesis;Angiogenesis overview;Spinal Cord Injury;Oxidative Stress;Detoxification of Reactive Oxygen Species;Cellular responses to stress;Cellular responses to external stimuli;Signaling events mediated by PTP1B	.	FUNCTION: Constitutive NADPH oxidase which generates superoxide intracellularly upon formation of a complex with CYBA/p22phox. Regulates signaling cascades probably through phosphatases inhibition. May function as an oxygen sensor regulating the KCNK3/TASK-1 potassium channel and HIF1A activity. May regulate insulin signaling cascade. May play a role in apoptosis, bone resorption and lipolysaccharide-mediated activation of NFKB. May produce superoxide in the nucleus and play a role in regulating gene expression upon cell stimulation. Isoform 3 is not functional. Isoform 5 and isoform 6 display reduced activity.; 	.	Severe diabetic retinopathy in type 2 diabetes[30178632;30178632];Pulse pressure[29403010;28739976;28739976;28135244];Obesity-related traits[23251661];Homocysteine levels[23824729;23824729];	cell morphogenesis;response to hypoxia;heart process;superoxide metabolic process;defense response;inflammatory response;cell aging;negative regulation of cell population proliferation;gene expression;positive regulation of smooth muscle cell migration;electron transport chain;cellular response to oxidative stress;superoxide anion generation;positive regulation of apoptotic process;positive regulation of MAP kinase activity;bone resorption;homocysteine metabolic process;positive regulation of stress fiber assembly;positive regulation of protein kinase B signaling;cardiac muscle cell differentiation;oxidation-reduction process;positive regulation of protein tyrosine kinase activity;positive regulation of ERK1 and ERK2 cascade;cellular response to cAMP;cellular response to glucose stimulus;cellular response to gamma radiation;cellular response to transforming growth factor beta stimulus;reactive oxygen species metabolic process;reactive oxygen species biosynthetic process;positive regulation of reactive oxygen species metabolic process;positive regulation of DNA biosynthetic process	stress fiber;nucleus;nucleolus;mitochondrion;endoplasmic reticulum membrane;plasma membrane;focal adhesion;integral component of membrane;apical plasma membrane;NADPH oxidase complex;perinuclear region of cytoplasm;perinuclear endoplasmic reticulum	nucleotide binding;protein binding;electron transfer activity;NAD(P)H oxidase activity;superoxide-generating NADPH oxidase activity;oxygen sensor activity;heme binding;flavin adenine dinucleotide binding;modified amino acid binding;protein tyrosine kinase binding	ENSG00000086991
.	.	FUNCTION: May play a role in the interactions between neurites derived from specific subsets of neurons during development. {ECO:0000250}.; 	.	Glucose homeostasis traits[25524916];Homeostasis model assessment of beta-cell function (dietary factor interaction)[24204828];Amyotrophic lateral sclerosis (sporadic)[24529757];Change in glucose in response to thiazide diuretic treatment in hypertension[29523524];Late-onset Alzheimer's disease[27770636];Subcortical brain region volumes[25607358];Colorectal adenoma (advanced)[29228715;29228715];Photic sneeze reflex[27182965];	homophilic cell adhesion via plasma membrane adhesion molecules;multicellular organism development	plasma membrane;integral component of membrane	calcium ion binding	ENSG00000165323
.	.	FUNCTION: Centriole-enriched microtubule-binding protein involved in centriole biogenesis (PubMed:20844083, PubMed:25131205, PubMed:27185865). Essential for the generation of the distal portion of new-born centrioles in a CENPJ- and CEP120-mediated elongation dependent manner during the cell cycle S/G2 phase after formation of the initiating cartwheel structure (PubMed:27185865). Required for the recruitment of centriolar proteins, such as POC1B, POC5 and CEP135, into the distal portion of centrioles (PubMed:27185865). Also required for centriole-to-centrosome conversion during mitotic progression, but is dispensable for cartwheel removal or centriole disengagement (PubMed:25131205). Binds to and stabilizes centriolar microtubule (PubMed:27185865). {ECO:0000269|PubMed:20844083, ECO:0000269|PubMed:25131205, ECO:0000269|PubMed:27185865}.; 	.	Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)[28090653];Waist circumference adjusted for body mass index[25673412;25673412];	positive regulation of centrosome duplication;regulation of centriole replication;positive regulation of protein acetylation;positive regulation of centriole elongation;positive regulation of establishment of protein localization	cytoplasm;centrosome;centriole;cytosol;cytoskeleton;plasma membrane;mitotic spindle microtubule	microtubule binding	ENSG00000166004
.	.	.	.	.	.	.	.	ENSG00000284057
Thyroid hormone signaling pathway - Homo sapiens (human);Developmental Biology;Gene expression (Transcription);Generic Transcription Pathway;RNA Polymerase II Transcription;Transcriptional regulation of white adipocyte differentiation	.	FUNCTION: Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. {ECO:0000269|PubMed:16595664}.; 	613668;	.	regulation of transcription by RNA polymerase II;transcription initiation from RNA polymerase II promoter;intracellular steroid hormone receptor signaling pathway;androgen receptor signaling pathway;positive regulation of transcription, DNA-templated;positive regulation of transcription by RNA polymerase II	nucleus;nucleoplasm;transcription factor complex;membrane;mediator complex;core mediator complex	transcription coregulator activity;transcription coactivator activity;protein binding;nuclear receptor transcription coactivator activity;signaling receptor activity;vitamin D receptor binding;thyroid hormone receptor binding	
Iron metabolism in placenta	.	FUNCTION: May function as a ferroxidase and may be involved in copper transport and homeostasis. {ECO:0000250}.; 	.	Obesity-related traits[23251661];	copper ion transport;iron ion transport;iron ion homeostasis;oxidation-reduction process	plasma membrane;integral component of membrane	ferroxidase activity;copper ion binding;oxidoreductase activity	ENSG00000181333
NOD-like receptor signaling pathway - Homo sapiens (human);miR-targeted genes in lymphocytes - TarBase;miR-targeted genes in muscle cell - TarBase;Electric Transmission Across Gap Junctions;Transmission across Electrical Synapses ;Neuronal System	.	FUNCTION: Structural component of the gap junctions and the hemichannels. May play a role as a Ca(2+)-leak channel to regulate ER Ca(2+) homeostasis. {ECO:0000269|PubMed:16908669, ECO:0000269|PubMed:20829356}.; 	.	Squamous cell lung carcinoma[28604730];Alanine transaminase levels[29403010];Aspartate aminotransferase levels[29403010];	response to ischemia;cation transport;calcium ion transport;cell-cell signaling;response to ATP;protein hexamerization;positive regulation of interleukin-1 alpha secretion;positive regulation of interleukin-1 beta secretion;calcium ion transmembrane transport	endoplasmic reticulum;endoplasmic reticulum membrane;plasma membrane;gap junction;membrane;integral component of membrane;bleb;protein-containing complex	protease binding;signaling receptor binding;calcium channel activity;wide pore channel activity;leak channel activity;ion channel binding;protein heterodimerization activity;actin filament binding;gap junction hemi-channel activity;scaffold protein binding	ENSG00000110218
Neuroactive ligand-receptor interaction - Homo sapiens (human);GPCRs, Other;GPCRs, Class A Rhodopsin-like;Signaling by GPCR;Signal Transduction;Ghrelin;G alpha (s) signalling events;GPCR downstream signalling	Neuroactive ligand-receptor interaction	FUNCTION: Orphan receptor. Could be a neuropeptide Y receptor.; 	.	Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)[22566498];Obstructive sleep apnea trait (apnea hypopnea index)[26977737];	G protein-coupled receptor signaling pathway;neuropeptide signaling pathway;response to glucocorticoid	plasma membrane;integral component of membrane;non-motile cilium	G protein-coupled receptor activity;neuropeptide Y receptor activity	ENSG00000123901
Mannose type O-glycan biosynthesis - Homo sapiens (human);Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	Glycosphingolipid biosynthesis - neo-lactoseries;Glycan structures - biosynthesis 2	FUNCTION: May catalyze alpha-1,3 glycosidic linkages involved in the expression of Lewis X/SSEA-1 and VIM-2 antigens.; 	.	Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)[22566498];Small cell lung carcinoma[28604730];Response to angiotensin II receptor blocker therapy[22566498];	carbohydrate metabolic process;protein glycosylation;fucosylation;L-fucose catabolic process	Golgi apparatus;cell surface;membrane;integral component of membrane;Golgi cisterna membrane;cell periphery	fucosyltransferase activity;alpha-(1->3)-fucosyltransferase activity	ENSG00000196371
Gene expression (Transcription);PIWI-interacting RNA (piRNA) biogenesis;Gene Silencing by RNA	.	FUNCTION: Plays a central role during spermatogenesis by repressing transposable elements and preventing their mobilization, which is essential for the germline integrity (By similarity). Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons (By similarity). Directly binds piRNAs, a class of 24 to 30 nucleotide RNAs that are generated by a Dicer-independent mechanism and are primarily derived from transposons and other repeated sequence elements (By similarity). Associates with secondary piRNAs antisense and PIWIL2/MILI is required for such association (By similarity). The piRNA process acts upstream of known mediators of DNA methylation (By similarity). Does not show endonuclease activity (By similarity). Plays a key role in the piRNA amplification loop, also named ping-pong amplification cycle, by acting as a 'slicer-incompetent' component that loads cleaved piRNAs from the 'slicer-competent' component PIWIL2 and target them on genomic transposon loci in the nucleus (By similarity). May be involved in the chromatin-modifying pathway by inducing 'Lys-9' methylation of histone H3 at some loci (PubMed:17544373). {ECO:0000250|UniProtKB:Q8CGT6, ECO:0000269|PubMed:17544373}.; 	.	Small cell lung carcinoma[28604730];Mood disorder and prion disease[25897833];Colorectal cancer[29228715];Mood disorder in prion disease[25897833];Chromium levels[26025379];Attention deficit hyperactivity disorder symptoms (maternal expressed emotions interaction)[18846501];	regulation of translation;multicellular organism development;spermatogenesis;negative regulation of transposition;epithelial structure maintenance;cell differentiation;gene silencing by RNA;piRNA metabolic process;DNA methylation involved in gamete generation;meiotic cell cycle;RNA phosphodiester bond hydrolysis, endonucleolytic	nucleus;cytoplasm;P granule;piP-body	endoribonuclease activity;piRNA binding	ENSG00000134627
HDMs demethylate histones;Chromatin modifying enzymes;Chromatin organization	.	FUNCTION: Histone demethylase that specifically demethylates 'Lys- 9' of histone H3, thereby playing a central role in histone code. Does not demethylate histone H3 'Lys-4', H3 'Lys-27', H3 'Lys-36' nor H4 'Lys-20'. Demethylates both di- and trimethylated H3 'Lys- 9' residue, while it has no activity on monomethylated residues. Demethylation of Lys residue generates formaldehyde and succinate. {ECO:0000269|PubMed:16603238}.; 	.	Diabetic kidney disease[26305897;26305897];	negative regulation of transcription by RNA polymerase II;double-strand break repair via homologous recombination;regulation of protein phosphorylation;chromatin remodeling;histone H3-K9 demethylation;positive regulation of chromatin binding;oxidation-reduction process;cellular response to ionizing radiation;negative regulation of histone H3-K9 trimethylation;positive regulation of double-strand break repair via nonhomologous end joining	nucleus;nucleoplasm;pericentric heterochromatin;histone methyltransferase complex;site of double-strand break;blood microparticle	damaged DNA binding;chromatin DNA binding;histone demethylase activity;histone demethylase activity (H3-K9 specific);metal ion binding;dioxygenase activity	ENSG00000186280
.	.	FUNCTION: Histone demethylase that specifically demethylates 'Lys- 9' of histone H3, thereby playing a central role in histone code. {ECO:0000269|PubMed:21914792}.; 	.	.	negative regulation of transcription by RNA polymerase II;chromatin remodeling;histone H3-K9 demethylation;oxidation-reduction process	nucleus;histone methyltransferase complex	histone demethylase activity;histone demethylase activity (H3-K9 specific);metal ion binding;dioxygenase activity	ENSG00000235268
Regulation of PLK1 Activity at G2/M Transition;Recruitment of mitotic centrosome proteins and complexes;Loss of Nlp from mitotic centrosomes;Loss of proteins required for interphase microtubule organization from the centrosome;Centrosome maturation;AURKA Activation by TPX2;G2/M Transition;Mitotic G2-G2/M phases;Recruitment of NuMA to mitotic centrosomes;Mitotic Prometaphase;M Phase;Cell Cycle;Cell Cycle, Mitotic;Anchoring of the basal body to the plasma membrane;Cilium Assembly;Organelle biogenesis and maintenance	.	FUNCTION: Centrosomal protein which may be required for microtubule attachment to centrosomes. May act by forming ring- like structures around microtubules. Mediates nuclear translocation and mitogenic activity of the internalized growth factor FGF2, but that of FGF1. {ECO:0000269|PubMed:22321063}.; 	614114;	Intelligence (MTAG)[29326435];Rheumatoid arthritis[24390342;24390342];Erosive tooth wear (severe vs non-severe)[29898447];Cognitive ability (MTAG)[29186694];	obsolete protein import into nucleus, translocation;G2/M transition of mitotic cell cycle;spermatid development;fibroblast growth factor receptor signaling pathway;regulation of G2/M transition of mitotic cell cycle;microtubule anchoring;protein homooligomerization;ciliary basal body-plasma membrane docking	nucleus;Golgi apparatus;centrosome;cytosol;microtubule	protein binding;microtubule binding;fibroblast growth factor binding;protein homodimerization activity;gamma-tubulin binding	ENSG00000166037
Inositol phosphate metabolism - Homo sapiens (human);Phosphatidylinositol signaling system - Homo sapiens (human);Metabolism of lipids;Metabolism;Nicotinate Nicotinamide metabolism;Synthesis of PIPs at the ER membrane;Synthesis of PIPs at the early endosome membrane;Synthesis of PIPs at the plasma membrane;Synthesis of PIPs at the late endosome membrane;PI Metabolism;Phospholipid metabolism	Fructose and mannose metabolism;Aminosugars metabolism;Thiamine metabolism;Riboflavin metabolism	FUNCTION: Phosphatase that acts on lipids with a phosphoinositol headgroup. Has phosphatase activity towards phosphatidylinositol 3-phosphate and phosphatidylinositol 3,5-bisphosphate. {ECO:0000269|PubMed:11733541, ECO:0000269|PubMed:12668758, ECO:0000269|PubMed:21372139}.; 	601382;	.	negative regulation of receptor internalization;protein dephosphorylation;phosphatidylinositol biosynthetic process;negative regulation of myelination;myelin assembly;peptidyl-tyrosine dephosphorylation;negative regulation of endocytosis;inositol phosphate dephosphorylation;phosphatidylinositol dephosphorylation;neuron development;protein tetramerization;regulation of phosphatidylinositol dephosphorylation;negative regulation of excitatory postsynaptic potential;dendritic spine maintenance;positive regulation of early endosome to late endosome transport;negative regulation of receptor catabolic process	nucleus;cytoplasm;vacuolar membrane;cytosol;synaptic vesicle;postsynaptic density;axon;dendrite;early endosome membrane;dendritic spine;intracellular membrane-bounded organelle;extracellular exosome;synaptic membrane	phosphatidylinositol-3-phosphatase activity;protein tyrosine phosphatase activity;protein binding;protein tyrosine/serine/threonine phosphatase activity;protein homodimerization activity;phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	ENSG00000087053
Th1 and Th2 cell differentiation - Homo sapiens (human);Notch signaling pathway - Homo sapiens (human);Human papillomavirus infection - Homo sapiens (human);NOTCH-Ncore;Canonical and Non-canonical Notch signaling;Notch Signaling Pathway;Notch;Disease;RUNX3 regulates NOTCH signaling;Signal Transduction;Gene expression (Transcription);Transcriptional regulation by RUNX3;Generic Transcription Pathway;RNA Polymerase II Transcription;Notch-HLH transcription pathway;Notch;NICD traffics to nucleus;Pre-NOTCH Transcription and Translation;Pre-NOTCH Expression and Processing;Signaling by NOTCH1;NOTCH2 intracellular domain regulates transcription;Signaling by NOTCH2;NOTCH3 Intracellular Domain Regulates Transcription;Signaling by NOTCH3;Signaling by NOTCH;TGF-beta super family signaling pathway canonical;Notch signaling pathway;Constitutive Signaling by NOTCH1 PEST Domain Mutants;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Signaling by NOTCH1 in Cancer;BMP2 signaling TGF-beta MV;BMP signaling Dro;Notch-mediated HES/HEY network;Diseases of signal transduction;NOTCH1 Intracellular Domain Regulates Transcription	Notch signaling pathway	FUNCTION: Acts as a transcriptional coactivator for NOTCH proteins. Has been shown to amplify NOTCH-induced transcription of HES1. Potentiates activation by NOTCH3 and NOTCH4 more efficiently than MAML1 or MAML3. {ECO:0000269|PubMed:12370315, ECO:0000269|PubMed:12386158, ECO:0000269|PubMed:12539049}.; 	.	Methadone dose in opioid dependence[28115739];Response to treatment for acute lymphoblastic leukemia[19176441];Corneal astigmatism[23322567];Waist-to-hip circumference ratio (alcohol intake interaction)[23192594];Pelvic organ prolapse[26545240];Height[23456168];Influenza A (H1N1) severity[26379185];Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)[25117820];Non-glioblastoma glioma[28346443];Ulcerative colitis[23128233;28067908];	transcription initiation from RNA polymerase II promoter;Notch signaling pathway;positive regulation of transcription of Notch receptor target;positive regulation of Notch signaling pathway;positive regulation of transcription by RNA polymerase II	nucleus;nucleoplasm;nuclear speck	transcription coactivator activity	ENSG00000184384
.	.	.	.	Parkinson's disease[23793441];	.	.	.	ENSG00000149231
